word,utility_score,category
de,1611,grammaire
ou,783,grammaire
chose,761,nom
pour,683,grammaire
une,609,grammaire
un,433,grammaire
avec,286,grammaire
personne,263,nom
dans,210,grammaire
lieu,193,nom
partie,184,nom
et,182,grammaire
qui,178,grammaire
action,152,nom
à,142,grammaire
faire,135,verbe
corps,123,nom
mot,121,nom
grand,118,adjectif
autre,106,grammaire
information,96,nom
petit,96,adjectif
temps,94,nom
après,92,grammaire
le,89,grammaire
animal,86,nom
eau,82,nom
que,82,grammaire
groupe,78,nom
nombre,77,nom
manger,76,verbe
sur,72,grammaire
art,66,nom
entre,66,grammaire
boire,64,verbe
ensemble,64,nom
message,62,nom
objet,62,nom
dire,60,verbe
maison,60,nom
voir,60,verbe
science,58,nom
transport,58,nom
terre,56,nom
sans,55,grammaire
aller,54,verbe
article,54,nom
en,54,grammaire
mer,54,nom
relation,54,nom
travail,53,nom
beaucoup,50,grammaire
pas,50,grammaire
plus,50,grammaire
esprit,48,nom
état,48,nom
être,48,verbe
peu,47,grammaire
argent,46,nom
avoir,46,verbe
plante,46,nom
simple,46,adjectif
la,45,grammaire
moment,44,nom
par,44,grammaire
place,44,nom
fin,42,nom
problème,42,nom
pronom,42,nom
très,41,grammaire
avant,40,grammaire
ciel,40,nom
image,40,nom
bon,39,adjectif
haut,38,adjectif
jour,38,nom
mal,38,grammaire
service,38,nom
année,36,nom
document,36,nom
nature,36,nom
venir,36,verbe
donner,34,verbe
lumière,34,nom
ce,33,grammaire
des,33,grammaire
couleur,32,nom
montrer,32,verbe
mouvement,32,nom
possible,31,adjectif
appartenir,30,verbe
goût,30,nom
mois,30,nom
proche,30,adjectif
recevoir,30,verbe
où,28,grammaire
texte,28,nom
trajet,28,nom
au,27,grammaire
espace,26,nom
est,26,nom
fort,26,adjectif
mesure,26,nom
nom,26,nom
souvent,26,grammaire
vers,26,grammaire
vivre,26,verbe
bas,24,adjectif
direction,24,nom
effet,24,nom
manière,24,nom
parler,24,verbe
rendre,24,verbe
route,24,nom
règle,24,nom
même,23,grammaire
danger,22,nom
début,22,nom
force,22,nom
mettre,22,verbe
musique,22,nom
prendre,22,verbe
public,22,adjectif
repas,22,nom
sentiment,22,nom
soin,22,nom
aide,20,nom
